Epochs/learning rate,0.000001,0.00001,0.0001,0.001,0.005,0.01,0.05
10,0.11015625,0.13984375,0.30546875,0.66953125,0.92421875,0.97578125,0.978125
20,0.18515625,0.17578125,0.53359375,0.78984375,0.9796875,0.98984375,0.99140625
30,0.09453125,0.1765625,0.5484375,0.91015625,0.98515625,0.98984375,0.990625
40,0.08203125,0.3296875,0.5640625,0.9375,0.9890625,0.9921875,0.990625
50,0.153125,0.25390625,0.56875,0.9546875,0.990625,0.99296875,0.99296875
